"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L114","BerkeleyStorageSetup.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/BerkeleyStorageSetup.java","L113","1","0","22","0","3","8","53","0"
"L12173","BerkeleyBlueprintsTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/blueprints/BerkeleyBlueprintsTest.java","L12172","6","0","66","0","4","11","142","0"
"L202","BerkeleyFixedLengthKCVSTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyFixedLengthKCVSTest.java","L201","1","0","25","0","3","9","1615","0"
"L203","BerkeleyKeyValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyKeyValueTest.java","L201","1","0","11","0","3","8","53","0"
"L204","BerkeleyLogTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyLogTest.java","L201","1","0","12","0","3","8","53","0"
"L205","BerkeleyVariableLengthKCVSTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyVariableLengthKCVSTest.java","L201","1","0","24","0","3","9","1615","0"
"L12390","BerkeleyGraphConcurrentTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyGraphConcurrentTest.java","L12389","1","0","10","0","3","3","53","0"
"L12391","BerkeleyGraphPerformanceMemoryTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyGraphPerformanceMemoryTest.java","L12389","1","0","10","0","3","3","53","0"
"L12392","BerkeleyGraphTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyGraphTest.java","L12389","3","0","55","1","4","14","1615","0"
"L12393","BerkeleyOLAPTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyOLAPTest.java","L12389","1","0","10","0","3","3","53","0"
"L12394","BerkeleyOperationCountingTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyOperationCountingTest.java","L12389","1","0","15","0","3","4","1615","0"
"L12395","BerkeleyPartitionGraphTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyPartitionGraphTest.java","L12389","1","0","13","0","3","4","53","0"
"L197","BerkeleyJEKeyValueStore.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEKeyValueStore.java","L196","21","0","192","0","4","35","142","0"
"L198","BerkeleyJEStoreManager.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEStoreManager.java","L196","23","0","223","0","5","60","142","0"
"L199","BerkeleyJETx.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJETx.java","L196","9","0","81","0","4","27","142","0"
